cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
b,y,g,t,n,f,c,b,w,e,s,s,g,p,p,w,o,p,n,v,d,e
x,f,n,f,y,f,c,n,b,t,s,k,w,w,p,w,o,e,w,v,d,p
f,s,e,t,f,f,c,n,p,e,s,s,w,w,p,w,o,e,h,s,d,p
x,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,m,p
f,f,n,t,y,f,c,b,u,e,s,s,p,p,p,w,o,e,k,a,l,e
x,f,n,t,f,f,w,b,w,e,k,s,w,w,p,w,o,p,w,n,g,p
x,f,e,t,f,f,c,n,n,t,k,k,p,w,p,w,o,p,w,v,d,p
x,f,n,t,f,f,w,b,y,e,s,s,w,w,p,w,o,p,n,v,g,e
f,f,w,t,f,f,c,b,p,e,k,k,p,p,p,w,o,p,h,v,d,p
f,s,n,t,f,f,c,n,n,t,k,s,p,p,p,w,o,p,w,v,p,p
f,y,g,t,f,f,c,b,u,e,k,s,g,w,p,w,o,e,k,v,g,e
f,s,e,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,l,p
x,f,e,f,s,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,l,p
f,s,n,t,f,f,c,n,n,t,k,k,w,p,p,w,o,p,w,v,p,p
f,f,n,t,f,f,w,b,r,e,s,k,w,b,p,w,t,n,w,v,g,e
f,f,n,t,f,f,c,n,n,t,s,s,p,p,p,w,o,p,w,v,p,p
x,f,w,t,f,f,c,b,p,e,k,k,b,n,p,w,o,p,h,s,g,p
x,f,n,t,f,f,c,n,n,t,s,k,w,w,p,w,o,p,w,v,l,p
x,f,g,t,f,f,c,b,p,e,k,k,p,p,p,w,o,e,h,v,g,p
x,f,w,t,l,f,c,b,p,e,s,s,w,b,p,w,o,p,n,s,m,e
f,s,e,f,y,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,p,p
x,f,w,t,f,f,c,b,h,e,k,k,b,p,p,w,o,p,h,s,d,p
x,s,e,t,f,f,c,b,p,e,s,s,g,w,p,w,t,n,k,v,l,e
f,f,n,t,f,f,c,n,b,t,k,s,w,w,p,w,o,p,w,v,p,p
f,f,n,f,y,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,d,p
f,f,w,t,a,f,c,b,n,t,s,s,w,w,p,w,o,p,n,n,m,e
x,s,n,f,s,f,c,n,b,t,k,s,w,w,p,w,o,e,w,v,p,p
f,f,e,t,y,f,c,b,n,t,s,s,p,p,p,w,o,p,n,v,d,p
f,f,n,t,n,f,c,b,n,t,s,s,g,w,p,w,o,p,n,s,d,e
f,f,n,t,f,f,c,n,w,t,k,s,w,p,p,w,o,p,n,a,l,e
b,s,e,t,l,f,w,b,n,e,s,s,w,w,p,w,o,p,n,n,p,e
k,f,n,f,y,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,d,p
x,f,y,t,f,f,c,b,w,e,k,k,p,n,p,w,o,e,h,v,p,p
f,s,n,f,s,f,c,n,b,t,s,s,w,p,p,w,o,e,w,v,l,p
x,f,w,t,a,f,w,b,w,e,s,s,b,w,p,w,o,p,n,v,p,e
f,s,n,t,f,f,w,b,h,t,s,s,w,w,p,w,o,p,n,y,g,e
x,y,p,t,f,f,c,b,p,e,k,s,w,w,p,w,o,p,n,v,l,e
b,y,w,t,l,f,w,b,w,t,s,s,w,b,p,w,o,p,k,n,g,e
f,s,n,t,f,f,c,b,n,e,s,s,w,p,p,w,o,p,w,v,l,e
x,f,n,f,s,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,d,p
f,s,p,t,f,f,w,b,w,e,k,s,w,w,p,w,t,p,w,v,l,e
b,f,g,t,n,f,c,b,u,t,k,s,g,w,p,w,o,p,k,n,l,e
f,f,g,t,f,f,c,b,w,e,s,s,b,p,p,w,o,p,k,a,d,e
x,f,n,t,f,f,c,b,n,e,k,k,n,p,p,w,o,e,h,s,g,p
f,f,y,t,a,f,c,n,n,e,s,k,w,w,p,w,o,e,w,y,p,e
x,s,w,t,l,f,c,b,p,e,s,s,w,w,p,w,o,p,n,s,p,p
f,f,e,t,f,f,w,b,p,t,s,s,b,p,p,w,o,p,n,a,p,e
x,s,e,f,y,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,l,p
f,f,w,t,f,f,c,b,h,e,k,k,p,p,p,w,o,p,h,v,g,p
f,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,n,m,p
x,f,e,t,f,f,c,b,p,e,s,s,p,p,p,w,o,p,n,v,g,e
x,s,g,t,f,f,c,b,n,e,s,s,g,w,p,w,o,p,n,s,d,e
b,s,w,t,f,f,w,b,w,t,k,k,w,p,p,w,o,p,n,n,p,e
x,s,w,t,f,f,c,b,p,e,s,s,w,w,p,w,o,p,w,n,m,e
x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,v,g,p
b,f,w,t,f,f,c,b,p,e,s,s,w,b,p,w,o,e,k,v,g,e
x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,p
x,f,w,t,f,f,c,b,p,e,k,k,b,p,p,w,o,e,h,v,d,p
f,s,n,t,f,f,w,b,w,e,k,s,w,w,p,w,t,p,k,v,d,e
x,f,g,t,n,f,c,b,w,e,s,s,g,w,p,w,o,p,n,v,l,e
f,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
b,f,g,t,f,f,c,b,w,e,s,k,w,p,p,w,o,e,k,n,g,e
x,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,p
x,f,n,t,f,f,c,b,p,t,s,s,w,p,p,w,o,e,k,a,p,e
f,s,e,t,f,f,w,b,n,e,k,s,b,p,p,w,t,p,n,v,l,e
x,s,e,t,f,f,c,n,n,t,k,s,w,w,p,w,o,p,w,v,d,p
f,f,w,t,f,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,m,e
f,f,n,t,f,f,c,n,n,t,s,s,w,p,p,w,o,p,w,v,d,p
x,f,n,t,f,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,m,p
f,s,p,t,n,f,c,b,w,t,k,k,w,g,p,w,o,p,k,n,p,e
f,s,p,t,f,f,w,b,w,e,k,s,w,w,p,w,o,p,w,v,m,e
f,s,n,t,y,f,c,b,w,t,s,s,p,p,p,w,o,p,k,s,d,e
x,s,n,f,y,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,d,p
b,f,w,t,a,f,w,n,n,t,s,s,b,w,p,w,o,p,n,v,g,e
f,f,n,t,f,f,w,n,y,e,k,s,w,p,p,w,o,e,w,v,l,p
f,f,w,t,f,f,c,b,h,e,k,k,n,p,p,w,o,p,h,v,p,p
f,s,g,t,f,f,c,b,k,t,s,s,g,p,p,w,o,p,n,y,g,e
x,s,p,t,f,f,w,b,n,t,s,s,w,w,p,w,o,p,k,v,g,e
x,f,w,f,c,f,c,n,n,e,s,s,w,w,p,w,o,p,k,y,d,p
f,f,n,t,f,f,c,n,w,e,k,s,w,p,p,w,o,e,w,v,d,p
x,f,w,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,p
x,f,e,f,s,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,l,p
x,f,w,t,f,f,c,b,h,e,k,k,b,n,p,w,o,e,h,v,d,p
x,f,w,t,f,f,w,b,p,e,k,k,w,w,p,w,o,p,w,y,g,p
x,f,w,t,y,f,w,b,y,t,k,s,p,p,p,w,o,e,w,v,m,e
x,f,w,t,f,f,c,b,p,e,k,k,n,n,p,w,o,p,h,s,p,p
x,s,e,t,f,f,c,b,g,e,s,s,w,p,p,w,t,p,n,s,m,e
f,s,n,t,l,f,c,b,p,e,s,s,w,w,p,w,o,p,k,s,g,e
x,f,w,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,p
x,f,n,t,f,f,c,b,n,e,k,k,b,p,p,w,o,e,h,v,p,p
f,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,m,p
f,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,m,p
f,s,e,t,f,f,w,b,h,t,s,s,w,p,p,w,o,p,k,y,m,e
x,f,n,t,y,f,c,b,e,t,k,s,p,w,p,w,o,e,n,v,m,e
f,f,g,t,y,f,c,b,p,t,s,k,p,p,p,w,o,p,n,y,d,e
f,s,g,t,f,f,w,b,y,t,s,k,w,w,p,w,o,p,n,y,d,e
f,f,n,t,f,f,c,b,n,e,k,k,b,p,p,w,o,e,h,v,p,p
f,f,n,t,f,f,c,b,n,t,s,k,g,b,p,w,o,p,n,y,p,e
f,f,e,f,s,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,p,p
b,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e
f,f,g,t,n,f,c,b,n,t,k,s,p,g,p,w,o,p,n,v,d,e
x,f,w,t,l,f,c,b,n,e,s,s,w,p,p,w,o,p,k,y,p,e
f,f,e,t,f,f,c,n,n,t,k,s,w,p,p,w,o,p,w,v,d,p
f,s,w,t,l,f,w,b,n,t,s,s,w,p,p,w,o,p,n,n,m,e
f,f,e,t,n,f,w,b,p,e,k,k,g,w,p,w,o,e,w,s,d,e
f,f,n,t,f,f,c,b,n,e,k,k,b,p,p,w,o,e,h,s,g,p
x,f,n,t,f,f,w,b,p,t,k,s,b,w,p,w,o,p,n,v,l,e
x,f,w,t,f,f,c,b,h,e,k,k,n,p,p,w,o,p,h,v,g,p
x,s,n,t,f,f,c,n,n,t,s,s,w,w,p,w,o,p,w,v,l,p
x,f,w,t,f,f,c,b,p,e,k,k,b,b,p,w,o,p,h,v,d,p
f,s,y,t,l,f,c,b,g,t,s,s,p,p,p,w,o,p,n,n,m,e
k,f,n,f,s,f,c,n,b,t,s,s,p,p,p,w,o,e,w,v,l,p
f,s,n,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,v,g,e
x,f,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,k,v,d,p
x,s,e,t,y,f,c,b,n,t,s,s,p,p,p,w,o,p,k,v,d,p
b,f,n,t,n,f,c,b,w,e,s,s,w,g,p,w,o,p,n,v,d,e
x,f,e,f,s,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,d,p
f,f,y,t,f,f,c,b,n,e,k,k,n,p,p,w,o,e,h,v,p,p
x,s,e,t,f,f,w,b,p,e,k,s,w,w,p,w,t,e,w,v,g,e
f,f,w,t,f,f,c,b,n,e,k,k,b,p,p,w,o,p,h,v,g,p
x,s,e,t,f,f,w,b,n,t,k,s,w,w,p,w,o,p,k,n,g,e
f,s,e,t,n,f,c,b,n,t,s,s,p,g,p,w,o,p,n,v,d,e
x,f,n,t,f,f,w,b,p,e,k,k,w,w,p,w,o,p,w,y,g,p
x,s,n,f,s,f,c,n,b,t,k,s,p,w,p,w,o,e,w,v,l,p
x,f,p,t,n,f,c,b,u,t,s,s,g,g,p,w,o,p,k,y,d,e
f,s,w,t,a,f,c,b,p,e,s,s,w,w,p,w,o,p,n,s,g,e
x,f,g,t,f,f,c,b,w,t,s,s,g,p,p,w,o,p,k,a,g,e
x,s,w,t,f,f,w,b,p,t,s,s,w,w,p,w,o,p,n,a,d,e
f,f,w,t,f,f,c,b,n,e,k,k,b,n,p,w,o,p,h,v,p,p
x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,g,p
x,f,g,t,n,f,w,b,r,t,k,s,g,w,p,w,o,f,w,n,d,e
b,f,w,t,a,f,w,b,y,t,s,s,p,b,p,w,o,p,n,n,m,e
f,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,p
f,f,w,t,f,f,c,b,n,e,k,k,b,p,p,w,o,p,h,s,p,p
x,f,n,t,f,f,w,b,y,e,k,s,w,w,p,w,o,e,w,v,g,e
f,s,p,t,n,f,c,b,n,t,k,s,w,g,p,w,o,p,n,v,l,e
x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,p,p
f,f,p,t,f,f,w,n,n,t,s,k,w,w,p,w,o,p,n,y,l,e
b,s,w,t,f,f,c,b,e,t,s,s,w,w,p,w,o,p,n,n,m,e
k,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,p
f,f,p,t,y,f,c,b,n,t,k,k,p,b,p,w,o,p,n,n,d,e
x,f,w,f,c,f,w,n,p,e,s,s,w,w,p,w,o,p,n,y,d,p
x,f,e,f,s,f,c,n,b,t,k,k,w,p,p,w,o,e,w,v,l,p
x,f,w,t,f,f,c,b,h,e,k,k,n,p,p,w,o,p,h,s,d,p
k,f,e,t,f,f,c,n,b,t,s,s,w,w,p,w,o,p,w,v,p,p
f,s,n,t,f,f,w,b,n,t,s,s,w,w,p,w,o,p,n,n,g,e
x,f,w,t,a,f,c,b,k,t,s,k,w,b,p,w,o,p,n,n,m,e
x,f,e,t,f,f,w,b,n,t,k,s,w,p,p,w,o,p,n,n,p,e
x,f,e,t,n,f,c,b,y,e,s,s,w,g,p,w,o,p,n,n,d,e
x,s,p,t,f,f,c,b,w,t,k,k,w,w,p,w,o,p,k,n,p,e
f,f,e,t,f,f,c,n,n,t,k,k,w,w,p,w,o,p,w,v,d,p
x,f,w,f,c,f,c,n,u,e,s,s,w,w,p,w,o,p,k,v,d,p
f,f,g,t,f,f,c,b,h,e,k,k,b,p,p,w,o,e,h,v,g,p
f,s,y,t,l,f,c,b,p,t,s,s,p,w,p,w,o,p,n,v,l,e
f,f,n,t,f,f,c,n,n,t,s,k,w,p,p,w,o,p,w,v,l,p
f,s,e,f,s,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,l,p
x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g,e
x,s,n,t,f,f,c,n,n,t,k,k,p,w,p,w,o,p,w,v,d,p
f,f,n,t,f,f,c,b,n,e,k,k,b,b,p,w,o,e,h,s,d,p
x,f,w,t,l,f,c,b,n,t,k,s,b,p,p,w,o,p,n,v,l,e
f,f,n,t,f,f,c,n,n,t,s,k,w,w,p,w,o,p,w,v,p,p
b,s,y,t,l,f,c,b,n,t,s,s,w,w,p,w,o,p,n,v,l,e
f,y,e,t,f,f,w,b,y,t,s,s,w,p,p,w,o,p,n,v,l,e
x,s,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,m,p
x,f,g,t,f,f,c,b,n,e,k,s,g,b,p,w,t,p,n,v,l,e
f,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,s,m,p
x,f,w,f,c,f,w,n,u,e,s,s,w,w,p,w,o,p,n,y,d,p
x,s,p,t,f,f,w,b,w,e,k,k,w,w,p,w,t,p,w,n,d,e
x,f,e,t,n,f,c,b,u,e,k,s,b,g,p,w,t,e,n,v,w,e
x,s,e,t,f,f,c,n,n,t,s,s,w,p,p,w,o,p,w,v,p,p
x,f,n,t,f,f,c,b,n,t,k,s,g,p,p,w,o,p,n,a,l,e
x,f,w,t,f,f,c,b,p,e,k,k,b,n,p,w,o,p,h,v,g,p
x,s,e,t,y,f,c,b,w,t,s,s,p,p,p,w,o,p,n,v,d,p
f,f,w,t,f,f,c,b,n,e,s,s,w,w,p,w,o,p,w,v,g,p
x,f,g,t,a,f,w,b,w,t,s,s,w,w,p,w,o,p,n,n,m,e
x,f,e,t,y,f,c,b,u,e,k,s,p,p,p,w,o,p,k,n,l,e
f,f,n,t,f,f,c,n,n,t,k,k,w,p,p,w,o,p,w,v,l,p
b,s,n,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,w,n,m,e
b,f,w,t,f,f,w,b,n,e,k,k,w,w,p,w,o,p,n,n,g,e
x,f,e,t,f,f,w,b,n,t,s,s,g,p,p,w,o,p,n,y,d,e
x,s,g,t,f,f,c,b,k,t,s,s,g,w,p,w,o,p,n,y,m,e
f,f,e,t,f,f,c,n,n,t,k,s,w,w,p,w,o,p,w,v,d,p
b,s,e,t,f,f,c,b,w,e,s,k,w,w,p,w,t,e,k,v,g,e
b,f,g,t,f,f,w,b,p,t,k,s,w,w,p,w,o,p,w,y,p,e
f,f,e,t,f,f,w,b,p,e,s,k,n,b,p,w,o,p,n,v,g,e
x,f,e,f,y,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,d,p
x,f,w,t,a,f,w,b,y,t,s,s,w,w,p,w,o,p,n,n,m,e
x,s,n,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,n,n,g,e
x,f,w,f,c,f,w,n,n,e,s,s,w,w,p,w,o,p,k,y,d,p
f,s,g,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,v,g,p
x,f,n,t,f,f,c,n,w,e,k,s,w,p,p,w,o,e,w,v,d,p
f,f,g,t,f,f,c,b,p,e,k,k,p,b,p,w,o,e,h,v,d,p
f,s,g,t,f,f,w,b,p,t,s,k,w,n,p,w,o,p,n,v,d,e
f,f,e,t,f,f,w,b,w,e,k,s,w,w,p,w,o,e,n,v,d,e
x,f,n,t,y,f,c,b,u,t,s,s,p,w,p,w,o,p,n,v,d,p
f,f,e,t,f,f,c,b,w,t,k,s,p,p,p,w,o,p,n,v,d,e
k,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,p
f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,m,p
f,f,w,t,f,f,c,b,n,e,k,k,n,n,p,w,o,p,h,v,g,p
f,s,n,f,s,f,c,n,b,t,k,s,w,w,p,w,o,e,w,v,l,p
f,f,w,t,f,f,c,b,h,e,k,k,n,p,p,w,o,p,h,v,d,p
f,s,e,f,s,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,d,p
x,s,e,t,f,f,w,b,w,t,s,s,g,w,p,w,o,p,n,a,l,e
f,s,g,t,n,f,c,b,p,e,s,s,g,p,p,w,t,e,n,n,p,e
x,f,e,t,y,f,c,b,y,t,s,s,p,b,p,w,o,p,k,n,d,e
x,f,w,t,l,f,w,n,n,t,k,s,w,w,p,w,o,p,n,v,m,e
x,f,w,t,f,f,w,b,p,e,k,k,w,w,p,w,o,p,w,y,g,p
b,f,y,t,l,f,w,b,p,t,s,k,w,b,p,w,o,p,n,v,g,e
f,f,e,t,n,f,c,b,p,t,s,s,g,p,p,w,o,p,n,v,m,e
x,s,e,t,f,f,c,n,n,t,k,k,w,p,p,w,o,p,w,v,l,p
f,f,e,f,s,f,c,n,b,t,k,s,p,p,p,w,o,e,w,v,d,p
x,f,g,t,f,f,c,b,w,e,s,s,b,w,p,w,o,p,w,v,d,e
x,f,n,t,f,f,c,b,h,e,k,k,n,b,p,w,o,e,h,v,d,p
f,f,w,t,f,f,c,b,p,e,k,k,n,b,p,w,o,e,h,v,p,p
x,f,n,t,f,f,w,b,p,e,s,s,w,w,p,w,o,p,w,n,g,e
f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g,p
f,f,n,t,f,f,c,b,n,e,k,k,n,b,p,w,o,e,h,v,g,p
x,s,n,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,p,p
x,s,p,t,f,f,w,b,w,t,s,k,w,w,p,w,o,e,n,y,g,e
f,f,e,t,a,f,w,n,w,t,s,k,p,p,p,w,o,e,n,a,p,e
f,s,p,t,f,f,w,b,w,e,s,s,w,w,p,w,t,p,k,n,d,e
x,s,w,f,c,f,w,n,p,e,s,s,w,w,p,w,o,p,k,v,d,p
f,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,p
f,s,n,t,f,f,c,b,n,e,k,s,w,w,p,w,o,e,w,v,g,e
b,f,w,t,a,f,c,b,y,t,s,s,w,w,p,w,o,p,n,y,p,e
f,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,v,m,p
f,s,e,f,s,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,l,p
k,s,n,t,y,f,w,b,n,e,s,s,p,p,p,w,o,p,w,n,l,e
x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,m,p
x,f,n,t,f,f,w,b,u,e,s,s,b,p,p,w,o,p,n,v,g,e
x,s,n,t,l,f,w,b,n,e,s,s,w,w,p,w,o,p,n,v,l,e
x,s,g,t,f,f,c,b,y,e,k,s,w,w,p,w,o,e,w,n,u,e
b,f,g,t,f,f,c,b,n,e,s,k,n,w,p,w,o,p,n,y,d,e
x,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,p
f,f,n,t,f,f,c,b,u,e,s,s,w,w,p,w,o,p,k,v,g,e
f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,g,t,f,f,w,b,w,e,s,s,g,w,p,w,t,p,k,v,l,e
x,s,g,t,f,f,w,b,y,t,k,k,b,p,p,w,o,e,w,y,g,e
x,f,n,t,f,f,c,b,w,t,s,s,w,b,p,w,o,e,k,a,g,e
f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,m,p
x,s,n,t,f,f,w,b,e,e,s,k,w,w,p,w,t,p,w,v,m,e
f,f,w,t,f,f,c,b,h,e,k,k,n,p,p,w,o,p,h,s,d,p
x,s,n,t,f,f,c,n,n,t,k,s,w,w,p,w,o,p,w,v,d,p
f,s,n,t,y,f,c,b,p,t,s,s,p,p,p,w,o,p,n,v,d,p
f,s,n,t,f,f,w,b,w,e,k,s,w,w,p,w,o,p,n,v,p,e
k,f,e,f,y,f,c,n,b,t,s,k,p,w,p,w,o,e,w,v,l,p
f,s,n,t,f,f,c,b,y,e,s,s,b,n,p,w,o,p,n,y,p,e
f,f,n,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,p
x,f,n,t,f,f,w,b,n,e,s,k,b,w,p,w,o,p,n,v,m,e
x,f,g,t,y,f,w,b,p,e,s,s,p,w,p,w,o,p,o,v,m,e
k,f,e,t,f,f,c,n,n,t,s,s,w,w,p,w,o,p,w,v,d,p
x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,p
f,f,w,t,f,f,c,b,p,e,k,k,p,p,p,w,o,p,h,v,p,p
x,f,n,t,f,f,c,n,n,t,k,s,p,w,p,w,o,p,w,v,d,p
f,s,e,f,s,f,c,n,b,t,s,s,p,w,p,w,o,e,w,v,d,p
x,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,g,p
x,s,n,f,y,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,p,p
f,f,c,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,p
x,s,w,t,a,f,w,b,k,t,s,s,w,p,p,w,o,p,k,n,m,e
x,s,g,t,f,f,w,b,p,e,s,s,w,w,p,w,o,p,k,v,m,e
f,f,n,t,f,f,c,n,n,t,k,k,w,w,p,w,o,p,w,v,l,p
f,f,n,t,f,f,c,b,n,e,k,k,p,p,p,w,o,e,h,s,d,p
x,f,n,t,f,f,c,b,h,e,k,k,b,p,p,w,o,e,h,v,d,p
x,f,e,t,f,f,c,n,n,t,k,k,w,w,p,w,o,p,w,v,l,p
f,y,n,f,m,f,c,b,w,e,k,y,c,c,p,w,n,n,w,c,d,p
f,f,g,t,f,f,c,b,p,e,k,k,b,p,p,w,o,e,h,v,d,p
f,f,n,f,y,f,c,n,b,t,k,s,w,w,p,w,o,e,w,v,p,p
x,f,w,f,c,f,w,n,u,e,s,s,w,w,p,w,o,p,k,y,d,p
b,s,w,t,l,f,c,b,k,t,s,s,w,w,p,w,o,p,n,n,g,e
x,f,n,t,f,f,c,b,p,e,k,k,b,n,p,w,o,e,h,v,p,p
f,f,w,t,f,f,c,b,p,e,k,k,n,n,p,w,o,p,h,s,g,p
b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
f,s,n,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,n,v,d,p
f,f,e,f,s,f,c,n,b,t,k,s,w,p,p,w,o,e,w,v,p,p
x,f,n,t,f,f,w,b,p,e,k,k,w,w,p,w,o,p,w,n,g,p
x,f,g,t,y,f,c,b,y,e,s,s,p,p,p,w,o,p,n,y,l,e
f,y,w,t,a,f,w,b,p,t,k,s,w,b,p,w,o,p,n,v,p,e
f,s,w,t,l,f,w,b,p,e,k,s,p,w,p,w,o,p,w,n,p,e
x,f,w,t,a,f,w,n,w,t,k,s,w,w,p,w,o,p,w,v,l,e
x,f,n,t,f,f,c,b,w,e,s,s,w,w,p,w,o,p,w,v,g,p
x,f,e,t,y,f,c,b,w,t,s,s,p,w,p,w,o,p,k,y,d,e
f,f,p,t,f,f,w,b,n,t,s,s,w,w,p,w,o,p,n,n,g,e
b,s,p,t,f,f,w,b,n,e,s,k,w,b,p,w,o,e,w,n,p,e
x,s,n,t,f,f,c,b,n,e,s,s,w,w,p,w,o,p,n,v,d,e
b,f,y,t,l,f,c,b,n,t,s,s,p,w,p,w,o,p,n,n,p,e
x,s,n,t,n,f,w,b,w,e,s,k,b,g,p,w,o,p,k,n,d,e
f,f,n,t,f,f,c,b,n,e,k,k,b,p,p,w,o,e,h,s,d,p
x,f,y,t,f,f,w,b,p,t,s,s,w,w,p,w,o,p,n,n,g,e
f,s,g,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,g,p
x,f,n,t,f,f,c,b,n,e,k,k,p,n,p,w,o,e,h,s,g,p
x,s,n,t,f,f,c,b,n,e,s,s,w,b,p,w,o,p,k,n,u,e
x,y,n,t,f,f,w,b,p,e,k,s,w,w,p,w,o,p,k,v,d,e
x,s,w,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,p
f,s,e,t,f,f,w,b,p,e,s,s,w,w,p,w,o,p,w,n,g,e
x,s,w,t,f,f,c,n,p,e,s,s,w,w,p,w,o,p,h,v,d,p
x,s,n,t,f,f,c,b,r,e,s,s,w,w,p,w,o,p,w,v,m,p
x,s,g,t,f,f,w,b,w,t,s,s,w,w,p,w,o,p,w,a,g,e
x,f,n,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,p,p
b,f,g,t,l,f,w,b,y,t,s,k,w,p,p,w,o,p,k,y,g,e
f,s,w,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,e
f,s,n,t,y,f,c,b,w,t,s,s,p,p,p,w,o,p,k,v,d,p
x,f,n,t,f,f,w,b,y,e,s,s,b,w,p,w,o,p,w,v,d,e
x,f,w,t,f,f,c,b,p,e,k,k,b,n,p,w,o,p,h,v,p,p
b,s,w,t,l,f,w,n,n,e,s,s,w,p,p,w,o,p,w,v,d,e
f,f,e,t,f,f,w,b,n,e,s,s,g,w,p,w,o,p,n,n,g,e
f,f,p,t,f,f,w,n,n,t,k,s,b,w,p,w,o,e,n,a,d,e
f,f,w,t,f,f,c,n,p,e,s,s,w,w,p,w,o,p,n,n,m,e
x,s,w,t,n,f,w,n,w,t,s,s,w,g,p,w,o,p,n,a,p,e
x,s,e,t,y,f,c,b,p,t,s,s,p,p,p,w,o,p,k,v,d,p
x,f,n,t,f,f,w,b,w,e,k,k,w,w,p,w,o,p,w,n,g,p
x,s,g,t,f,f,c,b,p,e,s,s,b,p,p,w,o,e,k,v,p,e
x,s,n,f,s,f,c,n,b,t,k,k,p,p,p,w,o,e,w,v,p,p
f,f,e,t,a,f,c,b,n,t,s,k,p,b,p,w,o,p,n,v,d,e
f,f,w,t,f,f,c,b,h,e,k,k,n,n,p,w,o,e,h,v,g,p
x,s,e,t,f,f,c,n,n,t,s,k,p,w,p,w,o,p,w,v,l,p
